video_id,title,published_at,channel,view_count,like_count,comment_count,duration,platform
4msB-yCsV60,Easy kids drawing #shorts #trending #viral #amaira #youtubeshorts #kidsart #viralshorts #shortsfeed,2025-06-25T07:30:07Z,Creative Komal ,374649945,1930607,0,PT19S,youtube
WFk8MiP3kWU,😱#ytgaming#ytshortsvideo #ytstudioes#trending #reels#viral#shorts#hide #in#the#backrooms #goodvibes,2026-04-13T15:35:16Z,AMAAN_GAMER ,1370,5,0,PT49S,youtube
YbwwNbcLLJw,Rudra ne asa kese kiya 😱 wait for end #shorts #viral #funnyvideo #viralshort,2025-10-18T04:41:02Z,Jagdish Comedian,9620102,42855,13,PT12S,youtube
Fw6xpbTqrtw,Respect For Vipin Sir 💯#alakhpandey #physicswallah #motivation #trending #viral #shorts,2026-04-13T12:09:35Z,Success Formula ,6791,189,0,PT30S,youtube
gyhXMlxdL4A,O Antava Oo Antava#Kritikachannel#Shorts funny video,2025-02-03T13:38:35Z,Kritika Channel,221196528,1225727,4700,PT9S,youtube
zYMi8bWiO6E,YOUTUBE SHORTS VIRAL KAISE KARE?? #shorts,2024-01-13T17:30:05Z,Creator Speaks,561652,10019,72,PT32S,youtube
uZitazYivZA,Reason for healthy hair in childhood 🥹 #shorts #youtubeshorts #viral,2024-05-23T18:20:13Z,Bhupinder Kaur,30197530,573014,2436,PT21S,youtube
5VRm26lUl9g,A cute girl follow me 😳🥰 | mistihappylifestyle #shorts #viral #cutrgirl #trending #shortvideo,2024-08-04T03:06:00Z,Misti Happy Lifestyle Games & Shorts,109469822,0,663,PT43S,youtube
QH--C8csee0,AUTOTUNE vs NO AUTOTUNE MUSIC | #viral #shorts || Mj Indian Hero 2,2026-04-13T18:02:06Z,Mj Indian Hero 2,2204,0,5,PT29S,youtube
KIG3iYFCH1w,#craft #painting #art #asmr #amazon #momlife #satisfying #viral #shorts #viralvideo #viralshorts,2024-05-10T16:46:13Z,Glenda,90093796,1584586,2185,PT19S,youtube
R6q2bhtUr18,Oo Aaa🥰🤣#shorts #viral #trending #funny #viralvideo,2025-05-20T14:49:00Z,Misti Happy Lifestyle Games & Shorts,13751060,0,25,PT13S,youtube
UP7Jaf5Qziw,Beautiful Fly stitch #handembroidery #embroidery #trending #viral #shorts,2026-04-12T17:31:39Z,Dena embroidery ,23496,146,0,PT5S,youtube
PhGZPl8ykG4,#trending #shorts #shortvideo #viral #song #love #dance #trendingshorts #hairstyle,2025-10-14T04:51:21Z,Kalpana_Das786,19489708,115613,491,PT29S,youtube
hyf9CqJtPqk,mera bhai meri jaan 🥰❤️ #shorts #viral #viralshorts,2023-01-13T11:30:18Z,BN ki Masti,1547393104,11659960,0,PT15S,youtube
7uvNG8SIVIA,Tag your partner 🤣🤣 #trending #fyp #diyafavas #viral #shorts #short #comedy #funny,2026-02-19T13:17:13Z,diyafavas_official,11310263,125706,286,PT18S,youtube
rRFtRrYFzg4,As a habit 😜 funny couple 🤣 #shorts #viral #comedy,2024-12-23T05:13:21Z,SG Funny Family,31755696,397119,0,PT15S,youtube
qtj80prGHAA,New Added Parivar Travels Luxury Bus🥰❤️ || #shorts #trending #viral,2026-04-13T11:20:41Z,Bus Way,79434,0,0,PT21S,youtube
Wzjqnic_WEQ,Vocês gostam de gloss meninas? 💗💖✨#shorts #youtubeshorts #viralshorts,2025-07-15T15:16:15Z,Monique Rodrigues,42458184,191318,1114,PT13S,youtube
_QLi7qSTMZA,Asli Gawar Kon 😨 #neetubisht #funny #lakhneet #comedy #youtubeshorts #trending #shorts #viral,2025-07-16T04:30:31Z,Neetu Bisht,28110157,335670,1632,PT35S,youtube
vkJ375FaPGI,Viral Nose 👃 contouring hack#contouring#nosecontouring #tutorial#viralshorts #trending #video#shorts,2025-05-31T14:35:34Z,Pooja Makeup #19,14652227,121894,217,PT14S,youtube
GCP6KafGsls,Ele errou tudo kkkk (#humor #shortsviral #shorts ),2025-04-27T15:56:41Z,Lulu Perrier,23597242,118596,223,PT13S,youtube
ccXTMANRHJQ,Biwi Ne Bachaya 😳😍 #shorts #trendingshorts #comedy #food #funny #viral #sandeepbhatt,2024-10-15T08:25:46Z,Sandeep Bhatt Vlogs,51582136,865829,3042,PT38S,youtube
AKL3Mr1E_gI,Bro almost escaped 💀 #funny #comedy #shorts #shortvideo #ytshorts #youtubeshorts #viral #fyp #reel,2026-04-09T12:54:14Z,Aaryan Kelvin,2838507,90943,415,PT30S,youtube
7Fp7XsGdMBY,"А я иду , гуляю по луне ) VIRAL VIDEO #viralvideo #dance #trending #eseniiamikheeva  #youtubeshorts",2025-08-13T17:07:40Z,Esenya_miss ( Eseniia Mikheeva) ,73543401,330963,34,PT9S,youtube
8y_nKvdR7Mo,🌙🌙 #trending #youtubeshorts #youtube #shortsvideo #shortsviral #short #shorts #shortsviral #new,2025-05-30T15:29:43Z,Kamal Hairstylist,4876276,24306,183,PT19S,youtube
vLO1a8dJFZM,Try not to laugh challenge 😂|| Day-46 #funny#viral#shorts#memes#reation #funnyvideo#siblinglaughlab,2026-04-13T13:30:06Z,Siblings laugh lab,12787,138,0,PT32S,youtube
a9vdB9D4lqE,Qué tal quedó dulce 🥰 #viralshorts #shorts,2025-06-15T18:08:20Z,Kike y su familia,34425779,335435,0,PT16S,youtube
lwJT8MjLXNc,Petric Star Cry 😭😭 #shorts #viral,2026-04-13T09:30:24Z,Zicky Zeem ,12431,0,2,PT13S,youtube
3bqSgKC6BXQ,#youtube shorts video viral kaise karen #youtubeshorts #majojdey,2023-11-21T05:38:34Z,MDYouTubecreator,5238344,119817,1610,PT1M,youtube
pxXqPwgUCgk,Kitten Story 🥺 #shortsfeed #viralvideo #cute #viral #shorts #cat #kitten #ai,2025-09-16T16:15:07Z,Zam Zam Entertainment,7328914,91115,148,PT1M3S,youtube
DrqVCOmuY1Q,Yaseen Muzammil – The Light in the Darkness.#islam #islamic #shorts #viral #shortsfeed #Trending.,2025-07-26T11:10:32Z,Noor Explains ,22935955,633002,1440,PT16S,youtube
86--n0ViRP8,If animals were overweight #unique #real #animals #viral #shorts #foryou,2026-04-13T17:06:20Z,SA Vault,2877,63,1,PT13S,youtube
ss6U3vDckN0,let's Try viral Pulse mojito 🥂❤️ #viral #shorts #pulse #mojitodrink,2026-04-13T17:50:41Z,Mummy's Kitchen,766,9,1,PT15S,youtube
Otj7Wx08OkE,yay mujhay Khush nai rakhti😂|#shorts #shortsfeed #funny #funnyshorts #viral #love #couple #foryou,2025-10-11T07:00:05Z,Shaziverse ,8334130,18072,2,PT8S,youtube
